,backside,Kanji,Keyword,Meaning,Alternative Meaning,On readings,Kun readings,Emphasis***,dummy_kana,Level,ONmem,KUNmem,MEANINGmem,Common words,KUNexample,Extra words,Old level,Nanori,Example,Components,No of strokes,Radical,Traditional form,Classification,Koohi Story 1,Koohi Story 2,RTK index (new),Tag,waniplus_level,waniplus_id,waniplus_srs
乞,こ.う　コツ　beg,乞 (test),beg,"beg, invite, ask",,コツ、 キツ、 キ、 キケ、 コチ,こ.う,onyomi,,61,,,,"こじきcommon · こつじき 【乞食】beggar  
こうcommon 【請う · 乞う】to beg;  to ask;  to request;  to invite 例文",,,,,,乙: the latter; duplicate; strange; witty; fishhook radical (no. 5),3,乙,(none),象形 Pictographic,"Lying down, Captain Hook is begging to be spared from the ticking crocodile.",Men beg lying down. Women beg as hookers.,501,JLPT.N0 gradeS kanjifreq2001-2500,1,,5
仄,ほのか　ソク　faint,仄 [te] [test] [t],insinuate (big test),"be seen dimly, suggest, intimate, faint, stupid, hint",,ソク,ほの.か,kunyomi,,61,,,,"ほのめかすcommon 【仄めかす】to hint at;  to intimate;  to suggest;  to allude to;  to imply;  —Usually written using kana alone. 例文
ほのかcommon 【仄か · 側か】faint;  indistinct;  stupid;  few
ソク	平仄【ひょうそく】meter (in Chinese poetry); consistency
仄聞【そくぶん】casually hearing; hearing casually
仄声【そくせい】the three tones of Chinese that exclude the high-level, or first, tone",,,,,,厂: wild goose; trailing cliff radical (no. 27)<br>人: person,,,(none),,"""So, you found a dead person abandoned at the bottom of the cliff? You think I might be involved? What are you trying to insinuate?!""",That nasty person likes to insinuate that I am afraid of heights and can't climb a cliff.,2276,JLPT.N0 ShouldSuspend gradeS+,1,,5
佇,たたず.む　チョ　standstill,佇,"stop, linger, appearance, figure, bearing","stop, linger, appearance, figure, bearing",,チョ,たたず.む,kunyomi,,61,,,,"たたずむcommon 【佇む · 彳む】to stand (still) a while;  to loiter;  to stop; 
ちょりつ 【佇立】standing still",,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,1,,5
侶,"リョ　とも　companion, follower",侶,partner,"companion, follower",,りょ,とも,onyomi,,61,,,,"ともcommon 【供 · 伴 · 侶】companion;  follower;  attendant;  retinue;  
そうりょcommon 【僧侶】priest;  monk;  —Buddhist term. 例文
はんりょcommon · ばんりょ 【伴侶】companion;  partner;  spouse",,,,,,人: person<br>呂: spine; backbone,9,人,(none),形声 Phonetic,"Mr. T don´t take a partner, especially one with no spine. ""I pity da foo got no spine"", he says.","As a PARTNER, I want a PERSON with a strong SPINE.",1025,JLPT.N0 gradeS,1,,5
俄,にわが　abrupt,俄,abrupt,"sudden, abrupt, improvised",,,にわか,kunyomi,,61,,,,"にわかにcommon 【俄に】suddenly 例文
にわかあめcommon 【俄雨 · 俄か雨 · にわか雨】rain shower",,,,,俄(にわか): sudden; abrupt; unexpected; improvised; offhand,人: person<br>我: ego; I; selfish; our; oneself,,,(none),,A person with a big ego is not afraid to treat others abruptly.,Mr. T is known to be particularly abrupt with anybody that has a big ego.,2247,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,1,,1
俯,"うつぶ.せ　うつむ.く　フ　lie down, bend down",俯,"bend down, lie prostrate","bend down, lie prostrate",,フ,うつぶ.せ、ふ.せ、うつむ.く,kunyomi,,61,,,,"うつむくcommon 【俯く · 俯向く · うつ向く】to hang one's head in shame;  to look downward;  to cast one's eyes down 例文
うつぶせcommon 【俯せ】lying on one's face;  upside-down 
ふかく 【俯角】depression;  angle of dip
ふぎょう 【俯仰】looking up and down;  actions;  being obliging",,,,,,,,,,,,,,,1,,2
倣,ホウ　なら.う　emulate,倣,emulate,"emulate, imitate",,ほう,なら.う,onyomi,,61,,,,"倣う,模倣",,,,,模倣(もほう): imitation; copying<br>倣う(ならう): to imitate; to follow; to emulate,人: person<br>放: set free; release; fire; shoot; emit; banish; liberate,10,人,(none),形声 Phonetic,"Mr T downloads an emulator so that he can play his favorite game, Pokemon. He plays for a different reason, though - he hates to see them poor little foos in the ball so he spends his entire time setting them free.","The black slave who was set free (#496) decides to emulate Mr. T, his role model. He uses his compass to head to Cali to start anew.",1053,JLPT.N1 gradeS kanjifreq2001-2500,1,,3
僻,ひが.み　ヘキ　biased,僻,biased,"prejudice, bias, rural area",,ヘキ,ひが.む,kunyomi,,61,,,,"ひが 【僻】evil;  untrue;  erroneous
ひがみcommon 【僻み · 僻】へき 【僻】prejudice;  bias;  inferiority complex
へきえん 【僻遠】remote;  outlying
へききょう 【僻境】deep rural areas",,,,,,人: person<br>辟: false; punish; crime; law,,,(none),,"""In the great debate between ketchup and mustard, it's well-known that Mr. T is quite biased.""","""In the great debate between Heinz and Hunts, it's well-known that Mr. T is quite biased. (thanks Megaqwerty!).""",,JLPT.N0 ShouldSuspend gradeS+,1,,4
儚,はがな.い　fleeting,儚,"fleeting, fickle","fleeting, fickle",,,はかな.い,kunyomi,,61,,,,はかないcommon 【儚い · 果敢無い · 果敢ない · 果無い · 果ない · 果敢いirregular】fleeting;  transient;  short-lived;  momentary;  ephemeral;  fickle;  vain ,,,,,,,,,,,,,,,1,,5
冴,さえ.る　ゴ　to be clear,冴,sharp,"be clear, serene, cold, skilful",,ゴ,さ.える、さえ,kunyomi,,61,,,,"さえcommon 【冴え · 冱え · 冴irregular】clearness;  clarity
さえるcommon 【冴える · 冱える】to be clear (of a sight, sound, colour, etc.);  to be bright;  to be vivid;  to be crispExample compounds:
ゴ	冴寒【ごかん】extreme cold",,,,"さえ, さえる","冴える(さえる): (1) to be clear (of a sight, sound, colour, etc.); to be bright; to be vivid; to be crisp (2) to be clear-headed; to be alert; to be on the ball; to be wide awake (3) to look upbeat; to be perky; to be cheerful (4) to master (a skill); to excel at; to cleanly execute (5) to be satisfying (6) to become frigid; to become intensely cold",冫: two-stroke water radical or ice radical (no. 15)<br>牙: tusk; fang; tusk radical (no. 92),,,(none),,"""(Note that per Heisig, this doesn't mean 'able to cut'; it means mentally sharp, adept, or 'on your toes'!) During the Ice Age, cavemen had to be especially careful around the woolly mammoth, because they were more mentally sharp than they looked. If the cavemen weren't careful, they could end up impaled on the mammoths' tusks!""",A sharp tusk pointing out of the ice. Probably belongs to a mammoth.,2261,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,1,,6
